Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(USDT),RSI
2022-12-10,17128.56,17227.72,17092.0,17127.49,-0.0001,0.0079,17068.26,16716.35,18800.77,2412000000.0,61.43679772399316
2022-12-11,17127.49,17270.99,17071.0,17085.05,-0.0025,0.0116999999999999,17065.31,16733.24,18773.02,2664000000.0,61.17218860973691
2022-12-12,17085.05,17241.89,16871.85,17209.83,0.0073,0.0217,17100.09,16753.93,18744.84,3845000000.0,67.51452926584163
2022-12-13,17208.93,18000.0,17080.14,17774.7,0.0327999999999999,0.0533999999999999,17198.05,16796.9,18724.41,4984000000.0,70.93797053341002
2022-12-14,17775.82,18387.95,17660.94,17803.15,0.0016,0.0409,17336.13,16841.0,18714.44,4780000000.0,62.848945378269455
2022-12-15,17804.01,17854.82,17275.51,17356.34,-0.0250999999999999,0.0325,17355.02,16884.04,18694.88,3923000000.0,56.89259433052879
2022-12-16,17356.96,17531.73,16527.32,16632.12,-0.0417,0.0579,17284.1,16918.07,18667.73,4309000000.0,43.14137154701066
2022-12-17,16631.5,16796.82,16579.85,16776.52,0.0087,0.013,17233.96,16940.06,18621.43,2418000000.0,48.35074450197583
2022-12-18,16777.54,16863.26,16663.07,16738.21,-0.0023,0.0118999999999999,17184.41,16945.46,18571.83,1885000000.0,44.09679274439942
2022-12-19,16739.0,16815.99,16256.3,16438.88,-0.0179,0.0334,17074.27,16939.06,18517.41,2981000000.0,41.94114177980271
2022-12-20,16438.88,17061.27,16397.2,16895.56,0.0278,0.0404,16948.68,16954.0,18461.85,4177000000.0,47.31886388590064
2022-12-21,16896.15,16925.0,16723.0,16824.67,-0.0042,0.012,16808.9,16968.64,18428.02,2639000000.0,49.825268228596435
2022-12-22,16824.68,16868.52,16559.85,16821.43,-0.0002,0.0183,16732.48,16984.35,18393.63,2950000000.0,43.37938132803693
2022-12-23,16821.9,16955.14,16731.13,16778.5,-0.0026,0.0133,16753.4,17006.97,18364.1,2720000000.0,44.14305887392
2022-12-24,16778.52,16869.99,16776.62,16836.12,0.0034,0.0056,16761.91,17022.71,18334.13,1687000000.0,45.21555220576882
2022-12-25,16835.73,16857.96,16721.0,16832.11,-0.0002,0.0081,16775.32,17009.45,18300.98,2109000000.0,45.79350349571271
2022-12-26,16832.11,16944.52,16791.0,16919.39,0.0052,0.0091,16843.97,17007.13,18275.76,2099000000.0,45.10885673483682
2022-12-27,16919.39,16972.83,16592.37,16706.36,-0.0126,0.0225,16816.94,16991.68,18247.17,2918000000.0,29.590019868561825
2022-12-28,16706.06,16785.19,16465.33,16547.31,-0.0095,0.0191,16777.32,16978.16,18223.66,3211000000.0,27.148264065798088
2022-12-29,16547.32,16664.41,16488.91,16633.47,0.0052,0.0106,16750.47,16959.27,18205.19,2672000000.0,34.85914165427393
2022-12-30,16633.47,16677.35,16333.0,16607.48,-0.0016,0.0207,16726.03,16944.92,18176.97,2727000000.0,49.27053975321509
2022-12-31,16607.48,16644.09,16470.0,16542.4,-0.0039,0.0105,16684.07,16923.06,18149.22,1897000000.0,42.7273856858847
2023-01-01,16541.77,16628.0,16499.01,16616.75,0.0045,0.0078,16653.31,16914.26,18125.95,1605000000.0,46.30964244913834
2023-01-02,16617.17,16799.23,16548.7,16672.87,0.0034,0.0151,16618.09,16892.21,18104.38,2035000000.0,58.34230585483763
2023-01-03,16672.78,16778.4,16605.28,16675.18,0.0001,0.0104,16613.64,16874.08,18078.6,2663000000.0,38.377317891272575
2023-01-04,16675.65,16991.87,16652.66,16850.36,0.0105,0.0203,16656.93,16862.99,18056.09,3710000000.0,51.22060151090428
2023-01-05,16850.36,16879.82,16753.0,16831.85,-0.0011,0.0075,16685.27,16852.86,18030.02,2751000000.0,50.48800134879444
2023-01-06,16831.85,17041.0,16679.0,16950.65,0.0070999999999999,0.0215,16734.29,16842.5,18003.34,3490000000.0,57.527394205458805
2023-01-07,16950.31,16981.91,16908.0,16943.57,-0.0004,0.0044,16791.6,16809.25,17978.3,1770000000.0,54.91559540692624
2023-01-08,16943.83,17176.99,16911.0,17127.83,0.0109,0.0157,16864.62,16782.24,17956.25,2292000000.0,61.61325793276783
2023-01-09,17127.83,17398.8,17104.66,17178.26,0.0029,0.0172,16936.81,16775.11,17937.27,4590000000.0,60.46912282120753
2023-01-10,17179.04,17499.0,17146.34,17440.66,0.0153,0.0204999999999999,17046.17,16807.46,17915.17,3829000000.0,78.55598419562565
2023-01-11,17440.64,18000.0,17315.6,17943.26,0.0288,0.0392,17202.3,16854.13,17890.98,4587000000.0,92.83973804219048
2023-01-12,17943.26,19117.04,17892.05,18846.62,0.0503,0.0683,17490.12,16938.46,17877.73,8348000000.000001,95.23149680968893
2023-01-13,18846.62,20000.0,18714.12,19930.01,0.0575,0.0682,17915.74,17078.11,17877.42,7062000000.0,97.41228983952026
2023-01-14,19930.01,21258.0,19888.05,20954.92,0.0513999999999999,0.0687,18488.79,17240.48,17891.82,8183000000.0,99.4267087841924
2023-01-15,20952.76,21050.74,20551.01,20871.5,-0.004,0.0237999999999999,19023.6,17402.35,17906.5,3711000000.0,97.56280783496577
2023-01-16,20872.99,21474.05,20611.48,21185.65,0.0151,0.0412999999999999,19596.09,17576.92,17924.14,6169000000.0,97.69573856430198
2023-01-17,21185.65,21647.45,20841.31,21134.81,-0.0024,0.0381,20123.82,17751.18,17944.37,5841000000.0,96.65538893526913
2023-01-18,21132.29,21650.0,20407.15,20677.47,-0.0216,0.0588,20514.43,17904.83,17960.71,7400000000.0,87.80615984621126
2023-01-19,20677.47,21192.0,20659.19,21071.59,0.0191,0.0258,20832.28,18074.41,17980.06,5243000000.0,88.98898309760717
