Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(BTC),Vol(USDT)
2021-06-01,37253.82,37894.81,35666.0,36693.09,-0.0151,0.059800000000000006,36804.1,43185.54,52227.76,81235.0,2974000000.0
2021-06-02,36694.85,38225.0,35920.0,37568.68,0.0239,0.06280000000000001,36565.07,42333.81,52113.39,67587.0,2523000000.0
2021-06-03,37568.68,39476.0,37170.0,39246.79,0.0447,0.061399999999999996,36667.47,41574.04,52008.04,75889.0,2931000000.0
2021-06-04,39246.78,39289.07,35555.15,36829.0,-0.0616,0.0951,36833.97,40814.56,51904.56,91318.0,3379000000.0
2021-06-05,36829.15,37925.0,34800.0,35513.2,-0.035699999999999996,0.0849,36963.69,39968.29,51795.84,70460.0,2561000000.0
2021-06-06,35516.07,36480.0,35222.0,35796.31,0.008,0.0354,36985.84,39414.89,51691.69,47650.0,1712000000.0
2021-06-07,35796.31,36900.0,33300.0,33552.79,-0.06269999999999999,0.10060000000000001,36457.12,38770.16,51574.7,77575.0,2756000000.0
2021-06-08,33556.96,34068.01,31000.0,33380.81,-0.0051,0.09140000000000001,35983.94,38111.73,51411.0,123251.0,4030999999.9999995
2021-06-09,33380.8,37534.79,32396.82,37388.05,0.12,0.1539,35958.14,37736.74,51299.35,136608.0,4795000000.0
2021-06-10,37388.05,38491.0,35782.0,36675.72,-0.0191,0.0725,35590.84,37346.5,51161.24,109527.0,4062999999.9999995
2021-06-11,36677.83,37680.4,35936.77,37331.98,0.0179,0.0475,35662.69,37098.26,51049.7,78466.0,2903000000.0
2021-06-12,37331.98,37463.63,34600.36,35546.11,-0.0478,0.0767,35667.4,36806.11,50916.31,87718.0,3132000000.0
2021-06-13,35546.12,39380.0,34757.0,39020.57,0.0977,0.1301,36128.0,36899.33,50816.7,86921.0,3209000000.0
2021-06-14,39020.56,41064.05,38730.0,40516.29,0.0383,0.059800000000000006,37122.79,36898.92,50711.09,108522.0,4320000000.0
2021-06-15,39582.18,40795.595,38423.005000000005,39432.65,-0.0031999999999999945,0.05995,37674.520000000004,36974.744999999995,50565.8,98147.0,3885500000.0
2021-06-16,40143.8,40527.14,38116.01,38349.01,-0.0447,0.0601,38226.25,37050.57,50420.51,87772.0,3451000000.0
2021-06-17,38349.0,39559.88,37365.0,38092.97,-0.0067,0.0572,38428.71,37188.08,50241.13,79541.0,3066000000.0
2021-06-18,38092.97,38202.84,35129.29,35819.84,-0.059699999999999996,0.08070000000000001,38212.69,37069.02,50019.38,95228.0,3508000000.0
2021-06-19,35820.48,36457.0,34803.52,35483.72,-0.009399999999999999,0.0462,38203.78,36955.38,49799.81,68712.0,2454000000.0
2021-06-20,35483.72,36137.72,33336.0,35600.16,0.0033,0.079,37715.15,36809.71,49541.34,89878.0,3125000000.0
2021-06-21,35600.17,35750.0,31251.23,31608.93,-0.1121,0.1264,36442.67,36532.87,49264.98,168779.0,5546000000.0
2021-06-22,31614.12,33298.78,28805.0,32509.56,0.0285,0.1422,35352.03,36406.71,49031.69,204208.0,6406000000.0
2021-06-23,32509.56,34881.0,31683.0,33678.07,0.0359,0.0984,34684.75,36369.63,48797.12,126966.0,4282000000.0
2021-06-24,33675.07,35298.0,32286.57,34663.09,0.0292,0.0894,34194.77,36330.5,48552.17,86626.0,2925000000.0
2021-06-25,34663.08,35500.0,31275.0,31584.45,-0.0888,0.1219,33589.71,36103.73,48288.9,116061.0,3846000000.0
2021-06-26,31576.09,32730.0,30151.0,32283.65,0.022099999999999998,0.0817,33132.56,35927.35,48028.84,107820.0,3376000000.0
2021-06-27,32283.65,34749.0,31973.45,34700.34,0.07490000000000001,0.086,33004.01,35812.62,47792.46,96613.0,3200000000.0
2021-06-28,34702.49,35297.71,33862.72,34494.89,-0.0059,0.0414,33416.29,35622.54,47561.58,82222.0,2837000000.0
2021-06-29,34494.89,36600.0,34225.43,35911.73,0.041100000000000005,0.0688,33902.32,35585.85,47378.03,90789.0,3234000000.0
2021-06-30,35911.72,36100.0,34017.55,35045.0,-0.0241,0.057999999999999996,34097.59,35567.12,47183.12,77152.0,2689000000.0
2021-07-01,35045.0,35057.57,32711.0,33504.69,-0.044000000000000004,0.067,33932.11,35475.46,46993.23,71708.0,2411000000.0
2021-07-02,33502.33,33977.04,32699.0,33786.55,0.0084,0.0381,34246.69,35484.81,46816.39,56172.0,1870000000.0
2021-07-03,33786.54,34945.61,33316.73,34669.13,0.026099999999999998,0.0482,34587.48,35536.34,46610.77,43045.0,1478000000.0
2021-07-04,34669.12,35967.85,34357.15,35286.51,0.0178,0.04650000000000001,34671.21,35452.28,46403.39,43703.0,1544000000.0
2021-07-05,35288.13,35293.78,33125.55,33690.14,-0.0452,0.061399999999999996,34556.25,35332.86,46180.29,64123.99999999999,2183000000.0
2021-07-06,33690.15,35118.88,33532.0,34220.01,0.015700000000000002,0.0471,34314.58,35208.38,45943.77,58211.0,1992000000.0
2021-07-07,34220.02,35059.09,33777.77,33862.12,-0.0105,0.0374,34145.59,35141.02,45692.41,53808.0,1858000000.0
2021-07-08,33862.11,33929.64,32077.0,32875.71,-0.0291,0.0547,34055.74,34895.22,45431.15,70136.0,2305000000.0
2021-07-09,32875.71,34100.0,32261.07,33815.81,0.0286,0.0559,34059.92,34627.2,45179.59,47154.0,1563000000.0
2021-07-10,33815.81,34262.0,33004.78,33502.87,-0.009300000000000001,0.037200000000000004,33893.31,34361.56,44922.54,34761.0,1172000000.0
2021-07-11,33502.87,34666.0,33306.47,34258.99,0.0226,0.0406,33746.52,34197.96,44692.31,31573.0,1070000000.0000001
2021-07-12,34259.0,34678.43,32658.34,33086.63,-0.0342,0.059000000000000004,33660.31,33997.7,44438.62,48181.0,1621000000.0
2021-07-13,33086.94,33340.0,32202.25,32729.77,-0.0108,0.0344,33447.41,33874.1,44171.95,41126.0,1349000000.0
